Team,Conference,Location,Longitude,Latitude,Total Games Won in 2021,Offensive TDs,Average Yards per Pass Completion,Average Yards per Rush Attempt,Yards/Play Allowed,Penalty Yards Per Game,Redzone Touchdown Efficiency,Redzone Points %,Redzone Touchdowns Allowed Percentage,Average Yards per Rush Allowed by Defense,Rush Yards Per Game Allowed,Average Points Defense Allowed per Game,Average Points Scored per Game,3rd Down Conversion Percentage,Opponent 3rd Down Conversion Percentage,Turnover Margin,Final Season Rank,Average Recruiting Score,,,
Air Force,Mountain West,Colorado Springs,-104.8198,38.8352,10,52,22.58,5.11,5.23,39.23,0.672,0.828,0.6,3.35,102.2,19.8,31,0.45,0.401,6,52,133.61,,,
Akron,MAC,Akron,-81.5178,41.0731,2,29,11.55,3.43,7.19,46.08,0.5,0.694,0.706,6.2,248.9,39.5,19.8,0.38,0.542,-5,127,120.87,,,
Alabama,SEC,Tuscaloosa,-87.5346,33.2065,13,69,13.35,4.11,4.77,66,0.676,0.926,0.55,2.66,86,20.1,39.9,0.52,0.311,9,2,311.36,,,
App State,Sun Belt,Boone,-81.6694,36.204,10,55,13.67,4.75,5.27,53.14,0.577,0.865,0.489,3.66,125.7,22.1,34.5,0.36,0.342,-4,45,143.83,,,15
Arizona,Pac-12,Tucson,-110.9264,32.2217,1,18,10.13,3.65,5.89,70.42,0.308,0.744,0.763,4.59,180.9,31.4,17.2,0.32,0.374,-17,86,173.49,,,76
Arizona St.,Pac-12,Tempe,-111.9431,33.4294,8,46,12.28,5.04,4.97,78.46,0.654,0.808,0.565,3.62,131.2,20.8,28.4,0.45,0.372,0,72,209.79,,,
Arkansas,SEC,Fayetteville,-94.1608,36.0764,9,48,13.57,5.04,5.41,63,0.635,0.885,0.486,4.02,153.5,22.9,30.9,0.37,0.335,6,12,215.05,,,
Arkansas St.,Sun Belt,Jonesboro,-90.7105,35.8384,2,31,12.15,2.83,7.22,46,0.5,0.868,0.683,6.42,260.9,38.6,25.2,0.33,0.414,-4,123,144.12,,,
Army West Point,FBS Independent,West Point,-74.05,41.3667,9,57,20.55,4.81,5.78,36.85,0.712,0.865,0.71,3.82,117.2,22.3,32.8,0.47,0.404,8,43,131.39,,,
Auburn,SEC,Auburn,-85.4808,32.5977,6,39,11.69,4.73,5.29,46.38,0.587,0.848,0.51,3.55,128.1,21.8,27.8,0.4,0.358,1,41,258.7,,,
